date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:27	8640/8640	---M-Z	200	added ('OK')	text/html	etag:W/%225a40e2e3-21c0%22	https://technext.github.io/massively/	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/index.html	(from )
15:26:27	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/robots.txt		(from )
15:26:27	81279/81279	---M-Z	200	added ('OK')	text/css	etag:W/%225a40e2e3-13d7f%22	https://technext.github.io/massively/assets/css/main.css	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/assets/css/main.css	(from https://technext.github.io/massively/)
15:26:28	927/927	---M-Z	200	added ('OK')	text/css	etag:W/%225a40e2e3-39f%22	https://technext.github.io/massively/assets/css/noscript.css	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/assets/css/noscript.css	(from https://technext.github.io/massively/)
15:26:28	8640/8640	---M-Z	200	added ('OK')	text/html	etag:W/%225a40e2e3-21c0%22	https://technext.github.io/massively/index.html	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/index-2.html	(from https://technext.github.io/massively/)
15:26:28	5688/5688	---M-Z	200	added ('OK')	text/html	etag:W/%225a40e2e3-1638%22	https://technext.github.io/massively/generic.html	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/generic.html	(from https://technext.github.io/massively/)
15:26:29	21387/21387	---M-Z	200	added ('OK')	text/html	etag:W/%225a40e2e3-538b%22	https://technext.github.io/massively/elements.html	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/elements.html	(from https://technext.github.io/massively/)
15:26:29	57130/57130	---M--	200	added ('OK')	image/jpeg	etag:%225a40e2e3-df2a%22	https://technext.github.io/massively/images/pic02.jpg	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/images/pic02.jpg	(from https://technext.github.io/massively/)
15:26:29	119717/119717	---M--	200	added ('OK')	image/jpeg	etag:%225a40e2e3-1d3a5%22	https://technext.github.io/massively/images/pic01.jpg	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/images/pic01.jpg	(from https://technext.github.io/massively/)
15:26:30	34109/34109	---M--	200	added ('OK')	image/jpeg	etag:%225a40e2e3-853d%22	https://technext.github.io/massively/images/pic03.jpg	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/images/pic03.jpg	(from https://technext.github.io/massively/)
15:26:31	32065/32065	---M--	200	added ('OK')	image/jpeg	etag:%225a40e2e3-7d41%22	https://technext.github.io/massively/images/pic04.jpg	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/images/pic04.jpg	(from https://technext.github.io/massively/)
15:26:31	52225/52225	---M--	200	added ('OK')	image/jpeg	etag:%225a40e2e3-cc01%22	https://technext.github.io/massively/images/pic05.jpg	C:/Users/hp/Desktop/Codes_Lab/MassivelyBlog/technext.github.io/massively/images/pic05.jpg	(from https://technext.github.io/massively/)
